11-27 23:44:26.085   49114-49114   A00000/com.dlz...nxia/wwssadad  com.dlzz.manxia       I     [NGF] [23:44:26.085] ℹ️ 信息 [SourceDetailPage] 查询到 sourceRecord: {"id":5,"name":"拷贝漫画 (WebView)","baseUrl":"https://www.2025copy.com","description":"拷贝漫画 WebView版本 - 使用DOM提取，支持域名切换和Cookie管理","isEnabled":1,"priority":0,"lastUpdateTime":1764256118675,"configJson":"{\r\n  \"metadata\": {\r\n    \"id\": \"copymanga_webview\",\r\n    \"name\": \"拷贝漫画 (WebView)\",\r\n    \"version\": \"2.0.0\",\r\n    \"language\": \"zh-CN\",\r\n    \"baseUrl\": \"https://www.2025copy.com\",\r\n    \"description\": \"拷贝漫画 WebView版本 - 使用DOM提取，支持域名切换和Cookie管理\",\r\n    \"author\": \"ManXia Team\",\r\n    \"nsfw\": true,\r\n    \"tags\": [\"chinese\", \"webview\", \"popular\"],\r\n    \"alternativeUrls\": {\r\n      \"copy2025\": \"https://www.2025copy.com\",\r\n      \"copy20\": \"https://www.copy20.com\"\r\n    }\r\n  },\r\n\r\n  \"capabilities\": {\r\n    \"urlResolver\": true,\r\n    \"chineseConverter\": true,\r\n    \"pagination\": true,\r\n    \"userAgentRotation\": false,\r\n    \"errorRetry\": true,\r\n    \"sessionManagement\": true,\r\n    \"loginSupport\": true\r\n  },\r\n\r\n  \"login\": {\r\n    \"url\": \"https://www.2025copy.com/web/login/loginByAccount?url=person%2Fhome\",\r\n    \"method\": \"manual\",\r\n    \"description\": \"用户需要手动完成登录，完成后点击确认按钮保存Cookie\"\r\n  },\r\n\r\n  \"network\": {\r\n    \"userAgent\": \"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36\",\r\n    \"timeout\": 30000,\r\n    \"retryCount\": 3,\r\n    \"retryDelay\": 2000\r\n  },\r\n\r\n  \"settings\": {\r\n    \"domain\": {\r\n      \"type\": \"select\",\r\n      \"name\": \"访问域名\",\r\n      \"description\": \"选择可用的访问域名\",\r\n      \"default\": \"copy2025\",\r\n      \"options\": [\r\n        {\"value\": \"copy2025\", \"label\": \"2025Copy (首选)\"},\r\n        {\"value\": \"copy20\", \"label\": \"Copy20 (备用)\"}\r\n      ]\r\n    },\r\n    \"imageQuality\": {\r\n      \"type\": \"select\",\r\n      \"name\": \"图片质量\",\r\n      \"description\": \"选择图片质量\",\r\n      \"default\": \"800\",\r\n      \"options\": [\r\n        {\"value\": \"800\", \"label\": \"标准 (800px)\"},\r\n        {\"value\": \"1200\", \"label\": \"高清 (1200px)\"},\r\n        {\"value\": \"1500\", \"label\": \"超清 (1500px)\"}\r\n      ]\r\n    },\r\n    \"loadImages\": {\r\n      \"type\": \"boolean\",\r\n      \"name\": \"加载图片\",\r\n      \"description\": \"浏览时是否加载图片（关闭可提升速度）\",\r\n      \"default\": true\r\n    },\r\n    \"filterOrdering\": {\r\n      \"type\": \"select\",\r\n      \"name\": \"排序\",\r\n      \"description\": \"筛选排序方式\",\r\n      \"default\": \"-datetime_updated\",\r\n      \"options\": [\r\n        {\"value\": \"-datetime_updated\", \"label\": \"按时间-从新到旧\"},\r\n        {\"value\": \"datetime_updated\", \"label\": \"按时间-从旧到新\"},\r\n        {\"value\": \"-popular\", \"label\": \"按热度-从高到低\"},\r\n        {\"value\": \"popular\", \"label\": \"按热度-从低到高\"}\r\n      ]\r\n    },\r\n    \"filterRegion\": {\r\n      \"type\": \"select\",\r\n      \"name\": \"地区\",\r\n      \"description\": \"筛选地区\",\r\n      \"default\": \"all\",\r\n      \"options\": [\r\n        {\"value\": \"all\", \"label\": \"全部\"},\r\n        {\"value\": \"0\", \"label\": \"日漫\"},\r\n        {\"value\": \"1\", \"label\": \"韩漫\"},\r\n        {\"value\": \"2\", \"label\": \"美漫\"}\r\n      ]\r\n    },\r\n    \"filterTheme\": {\r\n      \"type\": \"select\",\r\n      \"name\": \"题材\",\r\n      \"description\": \"筛选题材\",\r\n      \"default\": \"all\",\r\n      \"options\": [\r\n        {\"value\": \"all\", \"label\": \"全部\"},\r\n        {\"value\": \"aiqing\", \"label\": \"愛情\"},\r\n        {\"value\": \"huanlexiang\", \"label\": \"歡樂向\"},\r\n        {\"value\": \"maoxian\", 
11-27 23:44:26.085   49114-49114   A00000/com.dlz...nxia/wwssadad  com.dlzz.manxia       I     [NGF] [23:44:26.085] ℹ️ 信息 [SourceDetailPage] 成功加载 sourceName: 拷贝漫画 (WebView)
11-27 23:44:26.102   49114-49114   A00000/com.dlz...nxia/wwssadad  com.dlzz.manxia       D     [NGF] [23:44:26.102] 🔍 调试 [DatabaseManager] SQL查询成功，结果数量: 4
11-27 23:44:26.118   49114-49114   A00000/com.dlz...nxia/wwssadad  com.dlzz.manxia       D     [NGF] [23:44:26.118] 🔍 调试 [DatabaseManager] SQL查询成功，结果数量: 1
11-27 23:44:26.119   49114-49114   A00000/com.dlz...nxia/wwssadad  com.dlzz.manxia       D     [NGF] [23:44:26.119] 🔍 调试 [📊 数据管理器] [ID查询] workflows包含 13 个工作流: popular, latest, search, filter, favorites, history, getUserAvatar, getMangaDetail, getMangaDetailWithChapters, getChapterList, getPageList, loadMorePages, getImageUrl
11-27 23:44:26.119   49114-49114   A00000/com.dlz...nxia/wwssadad  com.dlzz.manxia       I     [NGF] [23:44:26.119] ℹ️ 信息 [SourceDetailPage] 检测到WebView类型图源（包含workflows字段），初始化WebView系统
11-27 23:44:26.119   49114-49114   A00000/com.dlz...nxia/wwssadad  com.dlzz.manxia       I     [NGF] [23:44:26.119] ℹ️ 信息 [SourceDetailPage] 开始初始化WebView引擎
11-27 23:44:26.119   49114-49114   A00000/com.dlz...nxia/wwssadad  com.dlzz.manxia       I     [NGF] [23:44:26.119] ℹ️ 信息 [WebViewSourceManager] 设置全局WebView控制器
11-27 23:44:26.119   49114-49114   A00000/com.dlz...nxia/wwssadad  com.dlzz.manxia       I     [NGF] [23:44:26.119] ℹ️ 信息 [MangaSourceEngine] 加载漫画图源配置
11-27 23:44:26.119   49114-49114   A00000/com.dlz...nxia/wwssadad  com.dlzz.manxia       D     [NGF] [23:44:26.119] 🔍 调试 [MangaSourceEngine] 接收到的JSON长度: 19099
